solar-UPV,wind-new,storage_level,storage_capacity,line
0.0,0.0,4.4191406579437887e-13,1.1047851644859472e-13,1.8816498881078147e-14
0.0,0.0,4.3838996399211194e-13,1.0959749099802799e-13,5.678462394210013e-15
0.0,0.0,4.4012124386604405e-13,1.1003031096651101e-13,1.4500940804200725e-14
0.0,0.0,4.3880156445684983e-13,1.0970039111421246e-13,2.035745394642205e-14
0.0,0.0,4.39016140131243e-13,1.0975403503281076e-13,2.774567385215403e-14
0.0,0.0,4.369098873145572e-13,1.092274718286393e-13,1.782785539799845e-14
0.0,0.0,4.398494454488067e-13,1.0996236136220168e-13,1.6059994051710417e-14
0.0,0.0,4.391507034328967e-13,1.0978767585822417e-13,5.370096983919352e-14
0.0,0.0,4.391809455080792e-13,1.097952363770198e-13,8.805886770586827e-15
0.0,0.0,4.389127871226568e-13,1.097281967806642e-13,1.4589240204545065e-14
0.0,0.0,4.4002054429445093e-13,1.1000513607361273e-13,1.549941376701042e-14
0.0,0.0,4.390790244536335e-13,1.0976975611340837e-13,1.5352502382356258e-14
0.0,0.0,4.401659955612477e-13,1.1004149889031193e-13,1.936364179702621e-14
0.0,0.0,4.3932797154058967e-13,1.0983199288514742e-13,1.4588193844287113e-14
0.0,0.0,4.3892232790349164e-13,1.0973058197587291e-13,3.7079778997378117e-14
0.0,0.0,4.621562667138091e-13,1.1553906667845227e-13,1.956258089392964e-14
0.0,0.0,4.3807026464746035e-13,1.0951756616186509e-13,1.2075710519713599e-14
0.0,0.0,4.3762832924388473e-13,1.0940708231097118e-13,2.2680024706700783e-14
0.0,0.0,4.392369048005131e-13,1.0980922620012827e-13,1.1769229516934893e-14
0.0,0.0,4.3909055571686717e-13,1.0977263892921679e-13,2.151800828765077e-14
0.0,0.0,4.3848420519827435e-13,1.0962105129956859e-13,1.40483652127244e-14
0.0,0.0,4.398447728517661e-13,1.0996119321294153e-13,1.8354407989726343e-14
0.0,0.0,4.3892096104687274e-13,1.0973024026171818e-13,2.393635054765604e-14
0.0,0.0,4.3681104227954553e-13,1.0920276056988638e-13,3.9839623463328184e-14
0.0,0.0,4.394118532115965e-13,1.0985296330289912e-13,1.091613441806975e-14
0.0,0.0,4.379495757598348e-13,1.094873939399587e-13,1.4568885932207755e-14
0.0,0.0,4.4062272143513323e-13,1.1015568035878331e-13,4.752083618450078e-15
0.0,0.0,4.401011500896154e-13,1.1002528752240384e-13,2.1379917163292114e-14
0.0,0.0,4.3823784254267307e-13,1.0955946063566827e-13,1.1704713777377394e-14
0.0,0.0,4.3762302150616523e-13,1.0940575537654131e-13,1.3455416006149226e-14
0.0,0.0,4.40391144200689e-13,1.1009778605017225e-13,1.8118250058347594e-14
0.0,0.0,4.3989047224033113e-13,1.0997261806008278e-13,8.750123693611852e-15
0.0,0.0,4.3956334709656345e-13,1.0989083677414086e-13,1.5244158603888802e-14
0.0,0.0,4.3861712082370237e-13,1.0965428020592559e-13,1.5185842808801227e-14
0.0,0.0,4.391112260997609e-13,1.0977780652494022e-13,1.298791551498287e-14
0.0,0.0,4.394411272713566e-13,1.0986028181783915e-13,2.279797277804595e-14
0.0,0.0,4.397018248195483e-13,1.0992545620488707e-13,2.0925056978188348e-14
0.0,0.0,4.3897949342113606e-13,1.0974487335528401e-13,2.7571543762721244e-14
0.0,0.0,4.3711476744394247e-13,1.0927869186098562e-13,7.631670546744657e-15
0.0,0.0,4.395863811944487e-13,1.0989659529861218e-13,1.3731557175010236e-14
0.0,0.0,4.4137313362328433e-13,1.1034328340582108e-13,1.380366103702374e-14
0.0,0.0,4.3995912777559967e-13,1.0998978194389992e-13,1.392565399424556e-14
0.0,0.0,4.4066231990351527e-13,1.1016557997587882e-13,1.1982752708941893e-14
0.0,0.0,4.1500586459015424e-13,1.0375146614753856e-13,3.157934651600748e-14
0.0,0.0,4.390127207950699e-13,1.0975318019876747e-13,2.1987461848167177e-14
0.0,0.0,4.379943497875086e-13,1.0949858744687715e-13,1.2460206528072501e-14
0.0,0.0,4.3968279755287865e-13,1.0992069938821966e-13,1.140437683286129e-14
0.0,0.0,4.410031875443677e-13,1.1025079688609193e-13,1.3841231400966045e-14
0.0,0.0,4.3789987949428786e-13,1.0947496987357196e-13,1.5075090238491008e-14
0.0,0.0,4.3959064289358e-13,1.09897660723395e-13,1.424949335612497e-14
0.0,0.0,4.3889749646948515e-13,1.0972437411737129e-13,1.4447867213879638e-14
0.0,0.0,4.386994454815629e-13,1.0967486137039072e-13,2.8944916649683374e-14
0.0,0.0,4.3982167170808834e-13,1.0995541792702208e-13,9.263862671171001e-15
0.0,0.0,4.403505060435198e-13,1.1008762651087995e-13,2.3449666015696553e-14
0.0,0.0,4.387286026417569e-13,1.0968215066043922e-13,1.2336089801209884e-14
0.0,0.0,4.396569550851114e-13,1.0991423877127785e-13,1.4420125992147508e-14
0.0,0.0,4.398739570312663e-13,1.0996848925781658e-13,5.079242112528317e-14
0.0,0.0,4.395692389202262e-13,1.0989230973005654e-13,3.479637758226157e-14
0.0,0.0,4.390865418177777e-13,1.0977163545444443e-13,1.833198842370157e-14
0.0,0.0,4.471655220621031e-13,1.1179138051552578e-13,2.6867538611879537e-14
0.0,0.0,4.3957437360714055e-13,1.0989359340178514e-13,1.0528002925354605e-14
0.0,0.0,4.391332462563908e-13,1.097833115640977e-13,1.4368239009901228e-14
0.0,0.0,4.3927260669451355e-13,1.0981815167362839e-13,1.926416834040222e-14
0.0,0.0,4.3750167540009153e-13,1.0937541885002288e-13,1.953066607194173e-14
0.0,0.0,5.529143792212335e-13,1.3822859480530839e-13,1.3881939524524166e-14
0.0,0.0,4.3928363814203695e-13,1.0982090953550924e-13,1.4718162474346734e-14
0.0,0.0,4.4003269117880947e-13,1.1000817279470237e-13,1.3384043860980513e-14
0.0,0.0,4.506715504090552e-13,1.126678876022638e-13,1.0676744099859233e-14
0.0,0.0,4.3981770108425397e-13,1.0995442527106349e-13,1.2412225802798655e-14
0.0,0.0,4.3966484117669113e-13,1.0991621029417278e-13,1.1409439105332096e-14
0.0,0.0,4.4163013714412784e-13,1.1040753428603196e-13,1.699744729627797e-14
0.0,0.0,4.398981999455926e-13,1.0997454998639816e-13,1.611549514370375e-14
0.0,0.0,4.395230156505026e-13,1.0988075391262565e-13,6.903245832414576e-15
0.0,0.0,4.631133454380359e-13,1.1577833635950897e-13,2.4843754552632447e-14
0.0,0.0,4.387134513386531e-13,1.0967836283466328e-13,8.395094177628483e-15
0.0,0.0,4.399519646262325e-13,1.0998799115655813e-13,5.2912290055308584e-15
0.0,0.0,4.414356321712812e-13,1.103589080428203e-13,9.2942084190107e-15
0.0,0.0,4.3798527205588036e-13,1.0949631801397009e-13,1.5381520511310884e-14
0.0,0.0,4.3923393091896174e-13,1.0980848272974043e-13,2.0533371086836907e-14
0.0,0.0,4.389401546155089e-13,1.0973503865387723e-13,1.2761330788077851e-14
0.0,0.0,4.3986761050425033e-13,1.0996690262606258e-13,1.470647941104412e-14
0.0,0.0,4.3960220156451835e-13,1.0990055039112959e-13,3.0248251693408196e-14
